p asn  	 10 	 20
c Assignment flow problem
c Max arc cost 1000000000
c nodes 10
c sources 5
c out-degree 4
c seed 4519
n 	 1
n 	 2
n 	 3
n 	 4
n 	 5
x   1  2  3
a   1  6  79420990
a   1  7  55897452
a   1  8  74362567
a   1  9  68559974
a   2  6  85091602
a   2  8  48886939
a   2  9  48874727
a   2  10  16173577
a   3  6  77788994
a   3  8  28475283
a   3  9  61442520
a   3  10  87338705
a   4  6  41986122
a   4  7  73040888
a   4  8  55709180
a   4  10  1052542
a   5  6  7235399
a   5  7  14259958
a   5  8  18605549
a   5  9  7197244
